IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.188.105,4,4,0.00,36.25,2.67,HKG
104.17.187.138,4,4,0.00,35.75,2.58,HKG
104.17.189.139,4,4,0.00,33.25,2.53,HKG
104.19.47.83,4,4,0.00,35.50,2.48,HKG
104.19.45.225,4,4,0.00,33.00,2.32,HKG
104.17.183.216,4,4,0.00,31.75,2.25,HKG
104.19.34.143,4,4,0.00,36.50,2.24,HKG
104.17.177.146,4,4,0.00,34.00,0.99,HKG
104.17.191.248,4,4,0.00,36.75,0.93,HKG
104.17.5.184,4,4,0.00,191.75,0.00,N/A
104.16.4.94,4,4,0.00,181.17,0.00,N/A
104.17.186.254,4,4,0.00,38.00,0.00,N/A
104.17.185.31,4,4,0.00,38.25,0.00,N/A
104.17.179.211,4,4,0.00,38.50,0.00,N/A
104.17.178.126,4,4,0.00,39.00,0.00,N/A
104.17.182.202,4,4,0.00,40.75,0.00,N/A
162.159.25.1,4,4,0.00,84.06,0.00,N/A
162.159.24.129,4,4,0.00,112.60,0.00,N/A
104.16.203.126,4,4,0.00,166.90,0.00,N/A
104.16.19.124,4,4,0.00,167.46,0.00,N/A
104.16.53.106,4,4,0.00,167.78,0.00,N/A
104.16.111.19,4,4,0.00,167.80,0.00,N/A
104.17.208.97,4,4,0.00,168.50,0.00,N/A
104.17.66.234,4,4,0.00,169.00,0.00,N/A
104.17.37.167,4,4,0.00,169.50,0.00,N/A
104.18.118.60,4,4,0.00,170.00,0.00,N/A
104.18.249.16,4,4,0.00,170.00,0.00,N/A
104.16.99.35,4,4,0.00,170.18,0.00,N/A
104.18.187.234,4,4,0.00,170.25,0.00,N/A
104.16.17.219,4,4,0.00,170.48,0.00,N/A
104.16.185.87,4,4,0.00,170.52,0.00,N/A
104.16.176.140,4,4,0.00,170.65,0.00,N/A
104.16.114.3,4,4,0.00,170.70,0.00,N/A
104.16.169.157,4,4,0.00,170.75,0.00,N/A
104.17.31.65,4,4,0.00,170.75,0.00,N/A
104.17.242.191,4,4,0.00,170.75,0.00,N/A
104.17.34.110,4,4,0.00,170.75,0.00,N/A
162.159.142.165,4,4,0.00,170.76,0.00,N/A
198.41.194.59,4,4,0.00,170.84,0.00,N/A
162.159.153.223,4,4,0.00,170.93,0.00,N/A
104.16.119.191,4,4,0.00,171.07,0.00,N/A
104.19.147.196,4,4,0.00,171.11,0.00,N/A
104.18.73.131,4,4,0.00,171.25,0.00,N/A
104.16.14.42,4,4,0.00,171.39,0.00,N/A
104.17.43.27,4,4,0.00,171.50,0.00,N/A
104.16.155.252,4,4,0.00,171.50,0.00,N/A
104.16.97.79,4,4,0.00,171.56,0.00,N/A
104.16.138.254,4,4,0.00,171.62,0.00,N/A
162.159.95.212,4,4,0.00,171.68,0.00,N/A
104.16.225.155,4,4,0.00,171.69,0.00,N/A
104.16.50.175,4,4,0.00,171.74,0.00,N/A
104.17.217.240,4,4,0.00,171.75,0.00,N/A
104.17.3.68,4,4,0.00,171.75,0.00,N/A
162.159.49.28,4,4,0.00,171.82,0.00,N/A
104.18.239.199,4,4,0.00,172.00,0.00,N/A
104.18.126.221,4,4,0.00,172.25,0.00,N/A
104.16.107.212,4,4,0.00,172.32,0.00,N/A
162.159.45.47,4,4,0.00,172.33,0.00,N/A
104.16.224.16,4,4,0.00,172.46,0.00,N/A
